pipeline,dataset
autodp_ofat_duplicate_removal_approximate,D_148
autodp_ofat_duplicate_removal_approximate,D_272
autodp_ofat_duplicate_removal_approximate,D_965
autodp_ofat_duplicate_removal_approximate,D_1013
autodp_ofat_duplicate_removal_approximate,D_1151
autodp_ofat_outlier_removal_zscore,D_62
autodp_ofat_outlier_removal_zscore,D_148
autodp_ofat_outlier_removal_zscore,D_272
autodp_ofat_outlier_removal_zscore,D_965
autodp_ofat_outlier_removal_zscore,D_1151
autodp_ofat_outlier_removal_zscore,D_1597
autodp_ofat_outlier_removal_iqr,D_57
autodp_ofat_outlier_removal_iqr,D_62
autodp_ofat_outlier_removal_iqr,D_148
autodp_ofat_outlier_removal_iqr,D_272
autodp_ofat_outlier_removal_iqr,D_951
autodp_ofat_outlier_removal_iqr,D_965
autodp_ofat_outlier_removal_iqr,D_1000
autodp_ofat_outlier_removal_iqr,D_1045
autodp_ofat_outlier_removal_iqr,D_1060
autodp_ofat_outlier_removal_iqr,D_1151
autodp_ofat_outlier_removal_iqr,D_1516
autodp_ofat_outlier_removal_iqr,D_1518
autodp_ofat_outlier_removal_iqr,D_1597
autodp_ofat_outlier_removal_iqr,D_4154
autodp_ofat_outlier_removal_iqr,D_40497
autodp_ofat_outlier_removal_lof,D_62
autodp_ofat_outlier_removal_lof,D_148
autodp_ofat_outlier_removal_lof,D_272
autodp_ofat_outlier_removal_lof,D_758
autodp_ofat_outlier_removal_lof,D_951
autodp_ofat_outlier_removal_lof,D_965
autodp_ofat_outlier_removal_lof,D_1059
autodp_ofat_outlier_removal_lof,D_1151
autodp_combo_01_basic,D_7
autodp_combo_01_basic,D_57
autodp_combo_01_basic,D_62
autodp_combo_01_basic,D_148
autodp_combo_01_basic,D_272
autodp_combo_01_basic,D_951
autodp_combo_01_basic,D_965
autodp_combo_01_basic,D_1000
autodp_combo_01_basic,D_1013
autodp_combo_01_basic,D_1045
autodp_combo_01_basic,D_1060
autodp_combo_01_basic,D_1151
autodp_combo_01_basic,D_1516
autodp_combo_01_basic,D_1518
autodp_combo_01_basic,D_1597
autodp_combo_01_basic,D_4154
autodp_combo_01_basic,D_40497
autodp_combo_02_knn_binary,D_7
autodp_combo_02_knn_binary,D_62
autodp_combo_02_knn_binary,D_148
autodp_combo_02_knn_binary,D_272
autodp_combo_02_knn_binary,D_758
autodp_combo_02_knn_binary,D_951
autodp_combo_02_knn_binary,D_965
autodp_combo_02_knn_binary,D_1013
autodp_combo_02_knn_binary,D_1059
autodp_combo_02_knn_binary,D_1080
autodp_combo_02_knn_binary,D_1086
autodp_combo_02_knn_binary,D_1151
autodp_combo_03_mice_catboost,D_7
autodp_combo_03_mice_catboost,D_62
autodp_combo_03_mice_catboost,D_148
autodp_combo_03_mice_catboost,D_272
autodp_combo_03_mice_catboost,D_965
autodp_combo_03_mice_catboost,D_1013
autodp_combo_03_mice_catboost,D_1080
autodp_combo_03_mice_catboost,D_1086
autodp_combo_03_mice_catboost,D_1151
autodp_combo_03_mice_catboost,D_1597
autodp_combo_04_em_frequency,D_7
autodp_combo_04_em_frequency,D_62
autodp_combo_04_em_frequency,D_148
autodp_combo_04_em_frequency,D_272
autodp_combo_04_em_frequency,D_951
autodp_combo_04_em_frequency,D_965
autodp_combo_04_em_frequency,D_1013
autodp_combo_04_em_frequency,D_1045
autodp_combo_04_em_frequency,D_1060
autodp_combo_04_em_frequency,D_1080
autodp_combo_04_em_frequency,D_1086
autodp_combo_04_em_frequency,D_1151
autodp_combo_04_em_frequency,D_1516
autodp_combo_04_em_frequency,D_1518
autodp_combo_04_em_frequency,D_1597
autodp_combo_04_em_frequency,D_4154
autodp_combo_04_em_frequency,D_40497
autodp_combo_05_random_ordinal,D_7
autodp_combo_05_random_ordinal,D_62
autodp_combo_05_random_ordinal,D_148
autodp_combo_05_random_ordinal,D_272
autodp_combo_05_random_ordinal,D_758
autodp_combo_05_random_ordinal,D_951
autodp_combo_05_random_ordinal,D_965
autodp_combo_05_random_ordinal,D_1013
autodp_combo_05_random_ordinal,D_1059
autodp_combo_05_random_ordinal,D_1080
autodp_combo_05_random_ordinal,D_1086
autodp_combo_05_random_ordinal,D_1151
autodp_combo_06_drop_binary,D_2
autodp_combo_06_drop_binary,D_4
autodp_combo_06_drop_binary,D_7
autodp_combo_06_drop_binary,D_25
autodp_combo_06_drop_binary,D_27
autodp_combo_06_drop_binary,D_51
autodp_combo_06_drop_binary,D_52
autodp_combo_06_drop_binary,D_62
autodp_combo_06_drop_binary,D_148
autodp_combo_06_drop_binary,D_272
autodp_combo_06_drop_binary,D_378
autodp_combo_06_drop_binary,D_381
autodp_combo_06_drop_binary,D_382
autodp_combo_06_drop_binary,D_858
autodp_combo_06_drop_binary,D_963
autodp_combo_06_drop_binary,D_965
autodp_combo_06_drop_binary,D_989
autodp_combo_06_drop_binary,D_993
autodp_combo_06_drop_binary,D_999
autodp_combo_06_drop_binary,D_1013
autodp_combo_06_drop_binary,D_1018
autodp_combo_06_drop_binary,D_1080
autodp_combo_06_drop_binary,D_1086
autodp_combo_06_drop_binary,D_1151
autodp_combo_06_drop_binary,D_1597
autodp_combo_06_drop_binary,D_23380
autodp_combo_07_mf_frequency,D_7
autodp_combo_07_mf_frequency,D_57
autodp_combo_07_mf_frequency,D_62
autodp_combo_07_mf_frequency,D_148
autodp_combo_07_mf_frequency,D_272
autodp_combo_07_mf_frequency,D_278
autodp_combo_07_mf_frequency,D_951
autodp_combo_07_mf_frequency,D_965
autodp_combo_07_mf_frequency,D_1013
autodp_combo_07_mf_frequency,D_1045
autodp_combo_07_mf_frequency,D_1060
autodp_combo_07_mf_frequency,D_1080
autodp_combo_07_mf_frequency,D_1086
autodp_combo_07_mf_frequency,D_1151
autodp_combo_07_mf_frequency,D_1516
autodp_combo_07_mf_frequency,D_1518
autodp_combo_07_mf_frequency,D_1597
autodp_combo_07_mf_frequency,D_4154
autodp_combo_07_mf_frequency,D_40497
autodp_combo_08_knn_catboost,D_7
autodp_combo_08_knn_catboost,D_62
autodp_combo_08_knn_catboost,D_148
autodp_combo_08_knn_catboost,D_272
autodp_combo_08_knn_catboost,D_758
autodp_combo_08_knn_catboost,D_951
autodp_combo_08_knn_catboost,D_965
autodp_combo_08_knn_catboost,D_1059
autodp_combo_08_knn_catboost,D_1080
autodp_combo_08_knn_catboost,D_1086
autodp_combo_08_knn_catboost,D_1151
autodp_combo_09_mice_ordinal,D_7
autodp_combo_09_mice_ordinal,D_62
autodp_combo_09_mice_ordinal,D_148
autodp_combo_09_mice_ordinal,D_272
autodp_combo_09_mice_ordinal,D_965
autodp_combo_09_mice_ordinal,D_1013
autodp_combo_09_mice_ordinal,D_1080
autodp_combo_09_mice_ordinal,D_1086
autodp_combo_09_mice_ordinal,D_1151
autodp_combo_10_em_binary,D_7
autodp_combo_10_em_binary,D_62
autodp_combo_10_em_binary,D_148
autodp_combo_10_em_binary,D_272
autodp_combo_10_em_binary,D_965
autodp_combo_10_em_binary,D_1013
autodp_combo_10_em_binary,D_1080
autodp_combo_10_em_binary,D_1086
autodp_combo_10_em_binary,D_1151
autodp_combo_10_em_binary,D_1597
autodp_combo_11_random_frequency,D_7
autodp_combo_11_random_frequency,D_57
autodp_combo_11_random_frequency,D_62
autodp_combo_11_random_frequency,D_148
autodp_combo_11_random_frequency,D_272
autodp_combo_11_random_frequency,D_951
autodp_combo_11_random_frequency,D_965
autodp_combo_11_random_frequency,D_1000
autodp_combo_11_random_frequency,D_1045
autodp_combo_11_random_frequency,D_1060
autodp_combo_11_random_frequency,D_1080
autodp_combo_11_random_frequency,D_1086
autodp_combo_11_random_frequency,D_1151
autodp_combo_11_random_frequency,D_1516
autodp_combo_11_random_frequency,D_1518
autodp_combo_11_random_frequency,D_1597
autodp_combo_11_random_frequency,D_4154
autodp_combo_11_random_frequency,D_40497
autodp_combo_12_drop_catboost,D_2
autodp_combo_12_drop_catboost,D_4
autodp_combo_12_drop_catboost,D_7
autodp_combo_12_drop_catboost,D_25
autodp_combo_12_drop_catboost,D_27
autodp_combo_12_drop_catboost,D_51
autodp_combo_12_drop_catboost,D_52
autodp_combo_12_drop_catboost,D_62
autodp_combo_12_drop_catboost,D_148
autodp_combo_12_drop_catboost,D_272
autodp_combo_12_drop_catboost,D_378
autodp_combo_12_drop_catboost,D_381
autodp_combo_12_drop_catboost,D_382
autodp_combo_12_drop_catboost,D_758
autodp_combo_12_drop_catboost,D_858
autodp_combo_12_drop_catboost,D_951
autodp_combo_12_drop_catboost,D_963
autodp_combo_12_drop_catboost,D_965
autodp_combo_12_drop_catboost,D_989
autodp_combo_12_drop_catboost,D_993
autodp_combo_12_drop_catboost,D_999
autodp_combo_12_drop_catboost,D_1013
autodp_combo_12_drop_catboost,D_1018
autodp_combo_12_drop_catboost,D_1059
autodp_combo_12_drop_catboost,D_1080
autodp_combo_12_drop_catboost,D_1086
autodp_combo_12_drop_catboost,D_1151
autodp_combo_12_drop_catboost,D_23380
autodp_combo_13_mf_binary,D_7
autodp_combo_13_mf_binary,D_62
autodp_combo_13_mf_binary,D_148
autodp_combo_13_mf_binary,D_272
autodp_combo_13_mf_binary,D_965
autodp_combo_13_mf_binary,D_1013
autodp_combo_13_mf_binary,D_1080
autodp_combo_13_mf_binary,D_1086
autodp_combo_13_mf_binary,D_1151
autodp_combo_13_mf_binary,D_1597
