,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
15_Dataset_15,0.631805158,0.926960083,0.055793991,0.876873812,0.926960083,0.055793991,0.876873812,0.926960083,0.055793991,0.876873812,0.929317937,0.924908043,0.08869814,0.810752745,0.014306152,,0.926960083,0.055793991,0.876873812,0.926960083,0.055793991,0.876873812,0.926960083,0.055793991,0.876873812,65.52217454,458.0,,12.65787807,4.417739628,,2.0,3.560657844,3.64385716,,1.684115096,3.1357041,,,2.0,1.477488667,2.751080546,,-0.798844135,1.589413448,,2.0,0.592858533,1.715077943,34.47782546,241.0,0.988307847,0.040057225,0.912544572,1.0,2.0,10.0,699.0,16.0,16.0,9.0,1.0,10.0,2.288984263,0.228898426,90.0,10.0,,-0.308352216,2.836909871,,1.044992368,2.326332069,,0.184621312,3.207439199,,1.233136558,2.855379239,,1.578506746,3.491212085,,1.618319946,3.052546502,0.952780445,0.055793991,0.875655113,0.952780445,0.055793991,0.875655113,0.952780445,0.055793991,0.875655113,0.951690486,0.04434907,0.90174527,0.951690486,0.04434907,0.90174527,0.951690486,0.04434907,0.90174527,0.0,0.975221512,0.042918455,0.904444667
16_Dataset_16,0.995497749,0.893352917,0.2105,0.766111111,0.893352917,0.2105,0.766111111,0.893352917,0.2105,0.766111111,3.321928095,0.693666667,0.8045,0.106111111,0.0325,,0.88964875,0.21,0.766666667,0.88964875,0.21,0.766666667,0.88964875,0.21,0.766666667,10.0,200.0,,0.580942601,2.891171124,,10.0,0.418722048,7.691305182,,-0.045654846,0.053084739,,,10.0,-0.004285663,2.152662829,,-0.944709266,-1.819707274,,10.0,-0.339113093,0.892344114,10.0,200.0,0.995631389,0.068,0.924444444,0.0,10.0,65.0,2000.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,98.46153846,1.538461538,,-0.149529537,-0.298416795,,-0.10420201,1.14384828,,-0.017345886,0.004483088,,-0.020815908,1.647650507,,0.071654941,0.332461139,,0.059176536,2.66148037,0.922776528,0.2055,0.771666667,0.922776528,0.2055,0.771666667,0.922776528,0.2055,0.771666667,0.83,0.306,0.66,0.83,0.306,0.66,0.83,0.306,0.66,0.0,0.972274861,0.05,0.944444444
18_Dataset_18,0.995497749,0.911420417,0.295,0.672222222,0.911420417,0.295,0.672222222,0.911420417,0.295,0.672222222,3.321928095,0.76125,0.8015,0.109444444,0.0035,,0.911420417,0.295,0.672222222,0.911420417,0.295,0.672222222,0.911420417,0.295,0.672222222,10.0,200.0,,0.07949387,6155.200435,,10.0,1.008483001,3757.634467,,-0.536236923,1052.699732,,,10.0,0.531567184,630.9070825,,-1.038355931,0.4925,,10.0,-0.062836663,0.291315717,10.0,200.0,0.951212778,0.2995,0.667222222,0.0,10.0,7.0,2000.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,85.71428571,14.28571429,,-0.869249111,0.65825,,0.214771315,0.571544999,,-0.635263531,1.686534393,,0.624533155,0.920871989,,-0.111490713,1656.114273,,0.767658113,958.166127,0.944247639,0.2935,0.673888889,0.944247639,0.2935,0.673888889,0.944247639,0.2935,0.673888889,0.8167275,0.3345,0.628333333,0.8167275,0.3345,0.628333333,0.8167275,0.3345,0.628333333,0.0,0.822780833,0.3295,0.633888889
20_Dataset_20,0.995497749,0.893742222,0.2375,0.736111111,0.893742222,0.2375,0.736111111,0.893742222,0.2375,0.736111111,3.321928095,0.722093333,0.8065,0.103888889,0.1205,9.545033529,0.890382639,0.247,0.725555556,0.890382639,0.247,0.725555556,0.890382639,0.247,0.725555556,10.0,200.0,2.485861366,,,0.69725436,10.0,,,1.783969684,,,0.348026865,4.125953952,6.87966805,,,0.53446049,,,0.040489542,5.0,,,10.0,200.0,0.994810278,0.07,0.922222222,0.0,10.0,241.0,2000.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,100.0,1.627975174,,,0.266663424,,,1.788577268,,,0.352200184,,,1.961441413,,,0.41642533,,,0.886532222,0.293,0.674444444,0.886532222,0.293,0.674444444,0.886532222,0.293,0.674444444,0.799560694,0.409,0.545555556,0.799560694,0.409,0.545555556,0.799560694,0.409,0.545555556,0.530370835,0.97652625,0.0475,0.947222222
22_Dataset_22,0.995497749,0.861404028,0.314,0.651111111,0.861404028,0.314,0.651111111,0.861404028,0.314,0.651111111,3.321928095,0.680619722,0.806,0.104444444,0.024,,0.860923194,0.3195,0.645,0.860923194,0.3195,0.645,0.860923194,0.3195,0.645,10.0,200.0,,4.370101299,508.9025716,,10.0,1.794599515,124.1924936,,0.735395681,88.63642941,,,10.0,0.790830076,40.12545292,,-0.991411721,0.078554261,,10.0,0.005491522,0.066552003,10.0,200.0,0.959026944,0.2705,0.699444444,0.0,10.0,48.0,2000.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,97.91666667,2.083333333,,-0.461242805,7.537383493,,0.379048878,3.757990088,,0.444046398,69.88189674,,0.741592891,37.87837791,,1.869983584,126.8326567,,1.254833473,65.21134487,0.895876528,0.3295,0.633888889,0.895876528,0.3295,0.633888889,0.895876528,0.3295,0.633888889,0.779722222,0.3965,0.559444444,0.779722222,0.3965,0.559444444,0.779722222,0.3965,0.559444444,0.0,0.8854525,0.2065,0.770555556
23_Dataset_23,0.996603261,0.659998601,0.489477257,0.230275889,0.659998601,0.489477257,0.230275889,0.659998601,0.489477257,0.230275889,1.539034583,0.555295049,0.572980312,0.0,0.006788866,53.27488524,0.652016408,0.504412763,0.218164037,0.652016408,0.504412763,0.218164037,0.652016408,0.504412763,0.218164037,42.70196877,629.0,1.866755069,1.529606551,32.53835709,0.070906339,4.0,1.099013946,8.227244755,1.220812297,0.29285603,17.89986422,0.028888557,41.25937203,3.125,0.677731576,5.292896809,0.380671663,-0.943894491,3.261371351,0.002582332,2.0,0.256449205,2.358548863,22.60692464,333.0,0.679800652,0.506449423,0.233605477,3.0,3.0,10.0,1473.0,0.0,0.0,2.0,8.0,30.0,0.0,0.0,20.0,80.0,0.60822398,-0.943894491,3.261371351,0.009820501,0.256449205,2.358548863,1.447988511,0.29285603,17.89986422,0.030474215,0.677731576,5.292896809,1.757839344,1.529606551,32.53835709,0.040138599,1.099013946,8.227244755,0.671987617,0.488119484,0.245007407,0.671987617,0.488119484,0.245007407,0.671987617,0.488119484,0.245007407,0.601288678,0.520706042,0.193423544,0.601288678,0.520706042,0.193423544,0.601288678,0.520706042,0.193423544,0.991031209,0.58106475,0.55125594,0.148908737
24_Dataset_24,0.726332636,0.991051962,0.01304776,0.973846162,0.991051962,0.01304776,0.973846162,0.991051962,0.01304776,0.973846162,0.999067897,0.889493528,0.113244707,0.774575746,0.002831118,5.03931358,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,51.79714426,4208.0,3.030432884,,,0.906074977,12.0,,,1.409255474,,,0.198254759,6.108305922,5.130434783,,,0.0,,,0.0,1.0,,,48.20285574,3916.0,0.997622967,0.048990645,0.90159728,5.0,2.0,23.0,8124.0,2480.0,2480.0,0.0,23.0,21.73913043,30.52683407,1.327253655,0.0,100.0,0.82866181,,,0.03418452,,,1.467128012,,,0.174606545,,,2.053355435,,,0.275102255,,,0.999998726,0.000369276,0.999260512,0.999998726,0.000369276,0.999260512,0.999998726,0.000369276,0.999260512,0.999524715,0.000492368,0.999014025,0.999524715,0.000492368,0.999014025,0.999524715,0.000492368,0.999014025,3.18097109,1.0,0.0,1.0
26_Dataset_26,0.239370322,0.990497929,0.044290123,0.934979363,0.990497929,0.044290123,0.934979363,0.990497929,0.044290123,0.934979363,1.7164959,0.828395,0.3375,0.495850622,0.000694444,10.63022128,0.990497929,0.044290123,0.934979363,0.990497929,0.044290123,0.934979363,0.990497929,0.044290123,0.934979363,33.33333333,4320.0,2.321928095,,,0.95877496,5.0,,,1.707722262,,,0.161473205,9.57588633,3.555555556,,,1.0,,,0.004333127,2.0,,,0.015432099,2.0,0.981500688,0.097530864,0.855537137,1.0,5.0,9.0,12960.0,0.0,0.0,0.0,9.0,11.11111111,0.0,0.0,0.0,100.0,1.584962501,,,0.007151052,,,1.584962501,,,0.020917321,,,2.0,,,0.165570612,,,0.988864201,0.057253086,0.916067329,0.988864201,0.057253086,0.916067329,0.988864201,0.057253086,0.916067329,0.959531036,0.074614198,0.890843089,0.959531036,0.074614198,0.890843089,0.959531036,0.074614198,0.890843089,1.013793755,0.996243577,0.037268519,0.945144293
28_Dataset_28,0.092543157,0.943778542,0.115836299,0.871288093,0.943778542,0.115836299,0.871288093,0.943778542,0.115836299,0.871288093,3.321832725,0.685478632,0.801779359,0.108955247,0.011565836,,0.942167214,0.120284698,0.86634554,0.942167214,0.120284698,0.86634554,0.942167214,0.120284698,0.86634554,10.17793594,572.0,,2807.498576,11.98967972,,10.0,52.99527777,6.51823849,,168.5538693,4.911243327,,,10.0,5.451185659,3.686292465,,-1.646519853,0.0,,10.0,-1.302992452,0.0,9.857651246,554.0,0.984087924,0.090569395,0.899368454,0.0,10.0,65.0,5620.0,0.0,0.0,64.0,1.0,0.0,0.0,0.0,98.46153846,1.538461538,,-1.372991377,0.261032028,,-0.329927006,0.96711709,,0.077216474,4.565569395,,0.559945116,4.301746898,,20.29640512,9.049154804,,4.066611974,5.866371529,0.956425401,0.143238434,0.840838905,0.956425401,0.143238434,0.840838905,0.956425401,0.143238434,0.840838905,0.910334821,0.1613879,0.820679858,0.910334821,0.1613879,0.820679858,0.910334821,0.1613879,0.820679858,0.0,0.990615669,0.016903915,0.981217455
29_Dataset_29,0.978229318,0.877612029,0.143478261,0.710175057,0.877612029,0.143478261,0.710175057,0.877612029,0.143478261,0.710175057,0.991230899,0.8590376,0.144927536,0.711618032,0.023188406,10.98775497,0.892856839,0.160869565,0.673993547,0.892856839,0.160869565,0.673993547,0.892856839,0.160869565,0.673993547,55.50724638,383.0,3.496440212,214.6699724,1017.385507,0.425709427,14.0,13.14065501,5210.102598,1.253763912,49.93170391,207.05843,0.090212323,12.89792295,4.2,4.423867144,901.5091409,0.501039555,1.119236129,2.223405797,0.000602957,2.0,1.145891556,3.346513359,44.49275362,307.0,0.894011578,0.215942029,0.549264777,5.0,2.0,16.0,690.0,37.0,67.0,6.0,10.0,31.25,5.362318841,0.606884058,37.5,62.5,0.816200616,1.985325448,2.355851449,0.005378837,1.403082732,4.483833365,0.984795333,15.34878088,18.16344786,0.029603262,2.807661655,8.468012873,1.393880431,91.78956656,392.3574551,0.132722866,7.149553647,1432.880726,0.885776614,0.144927536,0.710514613,0.885776614,0.144927536,0.710514613,0.885776614,0.144927536,0.710514613,0.767220901,0.249275362,0.491050063,0.767220901,0.249275362,0.491050063,0.767220901,0.249275362,0.491050063,4.049691346,0.818418792,0.17826087,0.63828155
